guid,email
test3dff-4ba0-42f7-abef-5b80a0acdce8,demo_test3dff-4ba0-42f7-abef-5b80a0acdce8@demo.com
f57979cb-e932-4ee1-935b-291386a14779,51d33dd0fac04a2f191802b78d0c292c52fcd199@demo.com
0c68ba17-79a1-492e-a0b7-91fa198e81dc,u1553105651SRT-9795371638-9379@rci.rogers.com
f432f87e-6410-416d-9400-ecab438a1bc2,yan23@demo.com
77120051-2f5b-4013-85ff-09c285a8f842,u1553025821SRT-5643131194-3251@rci.rogers.com
05c7912b-2adf-48be-ae1d-16753e9d3af6,u1552924893SRT-1102310816-8609@rci.rogers.com
f38a9621-deb6-46d9-8329-0ee1356bbeed,u1553025822SRT-5643131194-2112@rci.rogers.com
bf37bb88-4d3c-48b4-aa42-4a5253ec44ae,u1550779157SRT-9309315532-3752@rci.rogers.com
44a240b8-c723-44ec-be45-9352740a2211,u1553024551SRT-3313587287-6004@rci.rogers.com
6eb23061-881c-4e35-aa49-ee0e0625e671,u1553091415SRT-4564137509-3346@rci.rogers.com
c1fec688-cb13-4f05-9983-ec74352cca42,u1553022392SRT-3656911006-2899@rci.rogers.com
ab07e2fe-0e47-4f00-8f30-c678b3f14283,u1552924464SRT-8979235022-2795@rci.rogers.com
1fdd58f9-5a37-4ea4-9754-6d3b77a9a18c,u1550779529SRT-6380628379-1541@rci.rogers.com
ebfd4e4b-29ff-4992-b3ab-43c46032c28c,agmedf@ghm.com
36d95a48-5fc7-41d8-bafa-f81fd0056868,u1552934167SRT-6736328896-8171@rci.rogers.com
d2e18e23-aaf6-434a-8f26-02dcae585ced,u1550779502SRT-7367977363-8959@rci.rogers.com
d9bbb648-9690-4065-bbf5-8e270326a25e,u1553023551SRT-8835754537-8298@rci.rogers.com
2bc80c13-eb52-476e-be7f-032f78c89af7,u1552924811SRT-7571090217-4945@rci.rogers.com
5ec5c5dc-210f-4e87-8b02-ef2a8f90c3d3,u1552927503SRT-3054055834-6572@rci.rogers.com
a5283d33-cba5-4296-8f30-f713bbc98e91,u1552930661SRT-2201311465-9270@rci.rogers.com
9a2677aa-53af-4c95-8889-03862cf01079,u1553024068SRT-9360465401-9244@rci.rogers.com
96dfdda1-128b-4aa4-88b9-287d3f10d816,u1552925315SRT-3967400507-7268@rci.rogers.com
7b4d5e68-53be-4aa5-a53f-d95d1aea23a3,u1542819047@rci.rogers.com
c1d7c0a2-210c-4ee0-9a42-8f54b70724d1,u1553105585SRT-7526200048-1709@rci.rogers.com
a55b8d31-9916-4bf8-86dd-b3d959f7b6c1,u1552934163SRT-9028490781-8454@rci.rogers.com
3a127cc8-077b-4cc4-9351-e9af5e3741fb,linkedd012@demo.com
453451be-7b53-4f3f-8e4b-cc7bb6f9c137,u1553545496SRT-6250165191-8273@rci.rogers.com
b306c69d-db7f-4f69-8585-f3d1d5edeb0c,u1552934132SRT-7831893198-7923@rci.rogers.com
0fcffc0b-ed54-4695-af1a-75832ce3900d,u1552925375SRT-9618246712-4179@rci.rogers.com
a83d90bb-6d84-4a64-afee-519105486f82,u1553104953SRT-7119657354-5379@rci.rogers.com
569988de-58af-4e13-bf07-07527828c175,tv@tv.rogers
0f6914b7-79ac-466a-8605-7bce17a7eb0a,u1553539075SRT-7261657673-7429@rci.rogers.com
42f5e99d-b806-4f30-95e3-a51130c9718e,u1553104890SRT-4711290618-7853@rci.rogers.com
a339f3dd-a786-4c08-af0d-4a5f6f506377,u1552924354SRT-7910620332-2701@rci.rogers.com
9aa39f35-a86e-4518-aa9a-c5cd09a843c3,u1552934123SRT-3581606283-9160@rci.rogers.com
